file	token	line_no	occurrence_count
4_rellit/saiva/kubjt_pu.txt	r	2609	1
4_rellit/saiva/kubjt_pu.txt	r	3589	1
4_rellit/saiva/kubjt_pu.txt	r	5869	1
4_rellit/saiva/kubjt_pu.txt	r	11919	2
4_rellit/saiva/kubjt_pu.txt	r	12157	1
4_rellit/saiva/kubjt_pu.txt	s	6637	1
4_rellit/saiva/malinivu.txt	l	1419	1
4_rellit/saiva/malinivu.txt	r	1419	1
4_rellit/saiva/svact_pu.txt	h	13759	1
4_rellit/vaisn/hbhvil_u.txt	c	1501	1
4_rellit/vaisn/hbhvil_u.txt	n	17549	1
4_rellit/vaisn/ss5_bhku.txt	n	10509	1
4_rellit/vaisn/ss6_priu.txt	k	12137	1
4_rellit/vaisn/vaimp__u.txt	c	2757	1
4_rellit/vaisn/vaimp__u.txt	v	8099	1
4_rellit/vaisn/vaimp__u.txt	v	8621	1
5_poetry/1_chandas/kvrtrsuu.txt	g	939	1
5_poetry/1_chandas/kvrtrsuu.txt	g	1035	1
5_poetry/2_kavya/bhattiku.txt	n	455	1
5_poetry/2_kavya/bhattiku.txt	n	2931	1
5_poetry/2_kavya/bhattiku.txt	n	5191	1
5_poetry/2_kavya/bhattiku.txt	n	5945	1
5_poetry/2_kavya/bhattiku.txt	s	6371	1
5_poetry/2_kavya/kragh_pu.txt	c	1705	1
5_poetry/4_narr/brkas_pu.txt	k	10179	1
5_poetry/4_narr/brkas_pu.txt	s	5093	1
5_poetry/4_narr/brkas_pu.txt	v	5639	1
5_poetry/4_narr/brkas_pu.txt	ś	567	1
5_poetry/4_narr/brkas_pu.txt	ś	8515	1
5_poetry/4_narr/sokss_pu.txt	d	22457	1
5_poetry/4_narr/sokss_pu.txt	d	22949	1
5_poetry/4_narr/sokss_pu.txt	m	19457	1
5_poetry/4_narr/sokss_pu.txt	m	21397	1
5_poetry/4_narr/sokss_pu.txt	m	23433	1
5_poetry/4_narr/sokss_pu.txt	m	28377	1
5_poetry/4_narr/sokss_pu.txt	v	57459	1
5_poetry/5_subhas/msubhs_u.txt	d	40157	1
5_poetry/5_subhas/msubhs_u.txt	n	10109	1
5_poetry/5_subhas/msubhs_u.txt	n	10233	1
5_poetry/5_subhas/msubhs_u.txt	n	12653	2
5_poetry/5_subhas/msubhs_u.txt	n	14385	1
5_poetry/5_subhas/msubhs_u.txt	n	18335	1
5_poetry/5_subhas/msubhs_u.txt	n	18655	1
5_poetry/5_subhas/msubhs_u.txt	n	24839	1
5_poetry/5_subhas/msubhs_u.txt	n	28727	1
5_poetry/5_subhas/msubhs_u.txt	n	29653	1
5_poetry/5_subhas/msubhs_u.txt	n	33997	1
5_poetry/5_subhas/msubhs_u.txt	n	37465	1
5_poetry/5_subhas/msubhs_u.txt	n	39759	1
5_poetry/5_subhas/msubhs_u.txt	n	40231	1
6_sastra/3_phil/buddh/nrat_1_u.txt	c	279	1
6_sastra/3_phil/buddh/nrat_1_u.txt	n	7	1
6_sastra/3_phil/buddh/nrat_1_u.txt	s	15	1
6_sastra/3_phil/buddh/pramanvu.txt	h	937	1
6_sastra/3_phil/buddh/pramanvu.txt	h	2005	1
6_sastra/3_phil/buddh/pramanvu.txt	h	2673	1
6_sastra/3_phil/buddh/pramanvu.txt	h	4151	1
6_sastra/3_phil/buddh/pramanvu.txt	s	2455	1
6_sastra/3_phil/buddh/vakobhau.txt	m	28171	1
6_sastra/3_phil/samkhya/isvskaru.txt	c	71	1
6_sastra/3_phil/samkhya/isvskaru.txt	c	95	1
6_sastra/3_phil/samkhya/isvskaru.txt	c	109	1
6_sastra/3_phil/samkhya/isvskaru.txt	c	213	1
6_sastra/3_phil/samkhya/isvskaru.txt	c	283	1
6_sastra/3_phil/samkhya/isvskaru.txt	n	3	1
6_sastra/3_phil/samkhya/isvskaru.txt	s	115	1
6_sastra/3_phil/samkhya/isvskaru.txt	s	149	1
6_sastra/3_phil/samkhya/isvskaru.txt	s	253	1
6_sastra/4_dharma/smrti/brhasppu.txt	t	3635	1
6_sastra/4_dharma/smrti/brhasppu.txt	ś	3629	1
6_sastra/4_dharma/smrti/manu2p_u.txt	m	7385	1
6_sastra/5_artha/kautil_u.txt	t	9897	1
6_sastra/6_kama/kamasutu.txt	j	1835	1
6_sastra/6_kama/kamasutu.txt	s	451	1
