source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/2_epic/mbh/mbh_02_u.htm,2_epic/mbh/mbh_02_u.htm,697959,651394,478834,219125,58056,46565,172560,0,0
data/raw/gretil/2_epic/mbh/mbh_03_u.htm,2_epic/mbh/mbh_03_u.htm,1729729,1616301,1250288,479441,153555,113428,366013,0,0
data/raw/gretil/2_epic/mbh/mbh_04_u.htm,2_epic/mbh/mbh_04_u.htm,677716,632139,451129,226587,54995,45577,181010,0,0
data/raw/gretil/2_epic/mbh/mbh_05_u.htm,2_epic/mbh/mbh_05_u.htm,958468,894424,700409,258059,87054,64044,194015,0,0
data/raw/gretil/2_epic/mbh/mbh_06_u.htm,2_epic/mbh/mbh_06_u.htm,843184,785914,612474,230710,72930,57270,173440,0,0
data/raw/gretil/2_epic/mbh/mbh_07_u.htm,2_epic/mbh/mbh_07_u.htm,1448776,1354656,1041757,407019,122549,94120,312899,0,0
data/raw/gretil/2_epic/mbh/mbh_08_u.htm,2_epic/mbh/mbh_08_u.htm,870974,813422,612329,258645,72493,57552,201093,0,0
data/raw/gretil/2_epic/mbh/mbh_09_u.htm,2_epic/mbh/mbh_09_u.htm,519233,482229,376511,142722,45388,37004,105718,0,0
data/raw/gretil/2_epic/mbh/mbh_10_u.htm,2_epic/mbh/mbh_10_u.htm,119611,107909,107891,11720,8348,11702,18,0,0
data/raw/gretil/2_epic/mbh/mbh_11_u.htm,2_epic/mbh/mbh_11_u.htm,116621,104935,81449,35172,9886,11686,23486,0,0
data/raw/gretil/2_epic/mbh/mbh_12_u.htm,2_epic/mbh/mbh_12_u.htm,2201420,2060248,1591798,609622,198063,141172,468450,0,0
data/raw/gretil/2_epic/mbh/mbh_13_u.htm,2_epic/mbh/mbh_13_u.htm,1759793,1648021,1212632,547161,149940,111772,435389,0,0
data/raw/gretil/2_epic/mbh/mbh_14_u.htm,2_epic/mbh/mbh_14_u.htm,656584,612200,457034,199550,56796,44384,155166,0,0
data/raw/gretil/2_epic/mbh/mbh_15_u.htm,2_epic/mbh/mbh_15_u.htm,156409,142159,111594,44815,13864,14250,30565,0,0
data/raw/gretil/2_epic/mbh/mbh_16_u.htm,2_epic/mbh/mbh_16_u.htm,50335,42963,33234,17101,3990,7372,9729,0,0
data/raw/gretil/2_epic/mbh/mbh_17_u.htm,2_epic/mbh/mbh_17_u.htm,21604,15980,12436,9168,1574,5624,3544,0,0
data/raw/gretil/2_epic/mbh/mbh_18_u.htm,2_epic/mbh/mbh_18_u.htm,47405,40243,30250,17155,3680,7162,9993,0,0
data/raw/gretil/2_epic/mbh/ext/hv_conpu.htm,2_epic/mbh/ext/hv_conpu.htm,1387836,1140787,1016932,370904,184147,247049,123855,0,0
data/raw/gretil/2_epic/mbh/ext/hv_apppu.htm,2_epic/mbh/ext/hv_apppu.htm,1884234,1679229,1634800,249434,246600,205005,44429,0,0
data/raw/gretil/2_epic/ramayana/ram_01_u.htm,2_epic/ramayana/ram_01_u.htm,245817,225522,182129,63688,21707,20295,43393,0,0
data/raw/gretil/2_epic/ramayana/ram_02_u.htm,2_epic/ramayana/ram_02_u.htm,404009,373724,303205,100804,37446,30285,70519,0,0
data/raw/gretil/2_epic/ramayana/ram_03_u.htm,2_epic/ramayana/ram_03_u.htm,264996,243513,197194,67802,23655,21483,46319,0,0
data/raw/gretil/2_epic/ramayana/ram_04_u.htm,2_epic/ramayana/ram_04_u.htm,253290,232569,188362,64928,22447,20721,44207,0,0
data/raw/gretil/2_epic/ramayana/ram_05_u.htm,2_epic/ramayana/ram_05_u.htm,320100,295283,239801,80299,28019,24817,55482,0,0
data/raw/gretil/2_epic/ramayana/ram_06_u.htm,2_epic/ramayana/ram_06_u.htm,564663,524100,425311,139352,49426,40563,98789,0,0
