file	token	count
1_veda/2_bra/pncvbr1u.txt	ū	1
1_veda/2_bra/pncvbr2u.txt	ū	1
1_veda/2_bra/satapath/sb_06_u.txt	ū	1
1_veda/2_bra/satapath/sb_14_u.txt	ū	1
1_veda/5_vedang/1_srauta/asvss_u.txt	ū	18
1_veda/5_vedang/1_srauta/sankhssu.txt	ū	16
1_veda/5_vedang/1_srauta/vaitss_u.txt	ū	2
1_veda/5_vedang/2_grhya/kaussu_u.txt	ū	5
1_veda/5_vedang/2_paris/avpari_u.txt	ū	3
1_veda/5_vedang/2_paris/avpray_u.txt	ū	3
3_purana/agp_bi_u.txt	ū	2
3_purana/garup1_u.txt	ū	3
3_purana/lip_2__u.txt	ū	1
4_rellit/buddh/vinsutru.txt	ū	2
4_rellit/saiva/kubjt_pu.txt	ū	13
4_rellit/saiva/malinivu.txt	ū	1
4_rellit/saiva/parakspu.txt	ū	1
4_rellit/saiva/vinst_pu.txt	ū	1
5_poetry/1_natya/bharnatu.txt	ū	1
6_sastra/7_ayur/vagaah_u.txt	ū	9
1_veda/2_bra/gopbra_u.txt	o	2
1_veda/2_bra/satapath/sb_01_u.txt	o	2
1_veda/2_bra/satapath/sb_14_u.txt	o	1
1_veda/5_vedang/1_srauta/asvss_u.txt	o	4
1_veda/5_vedang/1_srauta/sankhssu.txt	o	3
1_veda/5_vedang/1_srauta/vaitss_u.txt	o	28
1_veda/5_vedang/2_grhya/kaussu_u.txt	o	2
1_veda/5_vedang/2_paris/avpari_u.txt	o	1
1_veda/5_vedang/3_pratis/rgvidh_u.txt	o	1
3_purana/agp_bi_u.txt	o	6
3_purana/garup1_u.txt	o	1
4_rellit/buddh/avsata_u.txt	o	1
4_rellit/buddh/divyav_u.txt	o	1
4_rellit/buddh/mhvastuu.txt	o	1
4_rellit/buddh/vinv_06u.txt	o	1
4_rellit/saiva/kubjt_pu.txt	o	22
4_rellit/vaisn/ss2_bhgu.txt	o	2
4_rellit/vaisn/ss4_krsu.txt	o	2
