file	line_no	category	matched_span	trigger_tokens	context
3_purana/agp_bi_u.txt	46568	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	46958	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	47087	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	47250	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	47568	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	47828	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	47875	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48003	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48200	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48445	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48648	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48834	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	48943	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49022	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49141	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49395	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49558	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49653	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49790	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	49875	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50072	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50155	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50262	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50428	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50555	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50650	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	50856	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51039	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51160	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51321	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51439	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51530	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51568	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51743	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51852	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	51913	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	52142	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	52223	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	52293	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	52447	editorial_or_european	chapter	chapter	chapter
