rank,piece,clean_piece,score,vowel_count,categories
20248,मभूद्,मभूद्,-11.9625,1,ends_with_virama
20251,रंहस,रंहस,-11.9628,0,contains_special_A
20253,प्यहं,प्यहं,-11.963,0,contains_special_A
20254,ोपाधिक,ोपाधिक,-11.9631,3,starts_with_dependent_vowel
20262,ुह्य,ुह्य,-11.9639,1,starts_with_dependent_vowel
20266,ाहुर्मनीषिणः,ाहुर्मनीषिणः,-11.9643,4,starts_with_dependent_vowel;contains_special_A
20269,ुपचित,ुपचित,-11.9643,2,starts_with_dependent_vowel
20281,ापर्यन्तता,ापर्यन्तता,-11.9652,2,starts_with_dependent_vowel
20282,िनीनां,िनीनां,-11.9654,3,starts_with_dependent_vowel;contains_special_A
20285,तत्सर्वं,तत्सर्वं,-11.9657,0,contains_special_A
20286,ारूप्यसमापत्ति,ारूप्यसमापत्ति,-11.9658,4,starts_with_dependent_vowel
20291,▁चरतः,चरतः,-11.9662,0,contains_special_A
20294,ुरग,ुरग,-11.9665,1,starts_with_dependent_vowel
20295,▁संक्षेपेण,संक्षेपेण,-11.9665,2,contains_special_A
20304,▁इत्यन्वयः,इत्यन्वयः,-11.967,1,contains_special_A
20309,ुद्गम,ुद्गम,-11.9676,1,starts_with_dependent_vowel
20315,▁तस्मात्तत्,तस्मात्तत्,-11.9679,1,ends_with_virama
20318,ेद्बुधः,ेद्बुधः,-11.9682,2,starts_with_dependent_vowel;contains_special_A
20328,ोऽस्त्य,ोऽस्त्य,-11.9696,1,starts_with_dependent_vowel;contains_special_A
20333,पस्चाद्,पस्चाद्,-11.9699,1,ends_with_virama
20335,योर्द्वयोः,योर्द्वयोः,-11.9701,2,contains_special_A
20336,संगीति,संगीति,-11.9702,2,contains_special_A
20337,▁संनिवेस,संनिवेस,-11.9703,2,contains_special_A
20342,ोऽनिल,ोऽनिल,-11.9706,2,starts_with_dependent_vowel;contains_special_A
20349,ुद्धृत्य,ुद्धृत्य,-11.9716,2,starts_with_dependent_vowel
20351,ाद्रे,ाद्रे,-11.9718,2,starts_with_dependent_vowel
20353,संभावन,संभावन,-11.9719,1,contains_special_A
20356,▁मनीषिभिः,मनीषिभिः,-11.9721,3,contains_special_A
20360,▁कारयेद्,कारयेद्,-11.9723,2,ends_with_virama
20361,▁लक्ष्मीर्,लक्ष्मीर्,-11.9724,1,ends_with_virama
20362,▁मनःसिला,मनःसिला,-11.9727,2,contains_special_A
20367,ौदारिक,ौदारिक,-11.9729,3,starts_with_dependent_vowel
20368,मगात्,मगात्,-11.9729,1,ends_with_virama
20373,ृष्ट,ृष्ट,-11.9734,1,starts_with_dependent_vowel
20379,▁ययुर्,ययुर्,-11.974,1,ends_with_virama
20385,जीजनत्,जीजनत्,-11.9747,1,ends_with_virama
20389,मादितः,मादितः,-11.9748,2,contains_special_A
20393,ौष्ण्य,ौष्ण्य,-11.9751,1,starts_with_dependent_vowel
20394,▁ह्यहं,ह्यहं,-11.9751,0,contains_special_A
20403,त्प्रभुः,त्प्रभुः,-11.9758,1,contains_special_A
20412,▁संतप्त,संतप्त,-11.9764,0,contains_special_A
20418,ऽअथ,ऽअथ,-11.9772,1,contains_special_A
20419,▁संभावय,संभावय,-11.9773,1,contains_special_A
20428,▁संप्रयोग,संप्रयोग,-11.9776,1,contains_special_A
20431,▁छन्दांसि,छन्दांसि,-11.9778,2,contains_special_A
20432,▁युष्मत्,युष्मत्,-11.9778,1,ends_with_virama
20433,ित्यासङ्क्याह,ित्यासङ्क्याह,-11.9779,3,starts_with_dependent_vowel
20435,ाह्निक,ाह्निक,-11.978,2,starts_with_dependent_vowel
20438,यस्मात्,यस्मात्,-11.9783,1,ends_with_virama
20442,आचार्यप्रवृत्तिः,आचार्यप्रवृत्तिः,-11.979,4,contains_special_A
