path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/tei/transformations/html/sa_pArthasArathimizra-zAstradIpikA.txt,gretil,other,190626,4122,174071,tei_unique,,0.700,1.000,0.700,133438.2
data/processed/gretil_devanagari/tei/transformations/html/sa_pataJjali-vyAkaraNamahAbhASya.txt,gretil,other,1681649,66467,1485194,tei_unique,,0.700,1.000,0.700,1177154.3
data/processed/gretil_devanagari/tei/transformations/html/sa_pataJjali-yogasUtra-alt.txt,gretil,other,9179,253,8167,tei_unique,,0.700,1.000,0.700,6425.3
data/processed/gretil_devanagari/tei/transformations/html/sa_pataJjali-yogasUtra-with-bhASya-alt.txt,gretil,other,95645,1514,87665,tei_unique,,0.700,1.000,0.700,66951.5
data/processed/gretil_devanagari/tei/transformations/html/sa_pataJjali-yogasUtra-with-bhASya.txt,gretil,other,99718,1651,90920,tei_unique,,0.700,1.000,0.700,69802.6
data/processed/gretil_devanagari/tei/transformations/html/sa_pataJjali-yogasUtra.txt,gretil,other,7853,209,7334,tei_unique,,0.700,1.000,0.700,5497.1
data/processed/gretil_devanagari/tei/transformations/html/sa_patna-dharmapada.txt,gretil,sastra,68622,2404,58819,prefix_in_candidate,4_rellit/buddh/dhppat_u.txt,1.000,0.200,0.200,13724.4
data/processed/gretil_devanagari/tei/transformations/html/sa_pauSkarasaMhitA-27-43.txt,gretil,other,303101,10929,270974,prefix_in_candidate,4_rellit/vaisn/ps27-43u.txt,0.700,0.200,0.140,42434.1
data/processed/gretil_devanagari/tei/transformations/html/sa_pAzupatasUtra-comm.txt,gretil,other,140348,3824,126978,tei_unique,,0.700,1.000,0.700,98243.6
data/processed/gretil_devanagari/tei/transformations/html/sa_pAzupatasUtra.txt,gretil,other,6887,677,5759,tei_unique,,0.700,1.000,0.700,4820.9
data/processed/gretil_devanagari/tei/transformations/html/sa_poSadhasthApanavastu.txt,gretil,other,11079,171,9894,tei_unique,,0.700,1.000,0.700,7755.3
data/processed/gretil_devanagari/tei/transformations/html/sa_poSadhavastu.txt,gretil,other,50480,865,45422,tei_unique,,0.700,1.000,0.700,35336.0
data/processed/gretil_devanagari/tei/transformations/html/sa_prabodhAnandasarasvatI-caitanyacandrAmRta.txt,gretil,other,22907,542,19858,exact,4_rellit/vaisn/caitcanu.txt,0.700,0.200,0.140,3207.0
data/processed/gretil_devanagari/tei/transformations/html/sa_prajJAkaramati-bodhicaryAvatArapaJjikA.txt,gretil,other,517811,10325,466468,tei_unique,,0.700,1.000,0.700,362467.7
